row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,municipio,proyecto_codigo,proyecto_nombre,tipo_asistencia,linea_enfoque,es_nueva_asistencia,cuenta_indicador_asistencia,sectores,resultado_mes,observaciones
246,asistencias,,,,,NaT,False,,,,,,,False,False,,,
247,asistencias,,,,,NaT,False,,,,,,,False,False,,,
248,asistencias,,,,,NaT,False,,,,,,,False,False,,,
249,asistencias,,,,,NaT,False,,,,,,,False,False,,,
250,asistencias,,,,,NaT,False,,,,,,,False,False,,,
251,asistencias,,,,,NaT,False,,,,,,,False,False,,,
252,asistencias,,,,,NaT,False,,,,,,,False,False,,,
253,asistencias,,,,,NaT,False,,,,,,,False,False,,,
254,asistencias,,,,,NaT,False,,,,,,,False,False,,,
255,asistencias,,,,,NaT,False,,,,,,,False,False,,,
256,asistencias,,,,,NaT,False,,,,,,,False,False,,,
257,asistencias,,,,,NaT,False,,,,,,,False,False,,,
258,asistencias,,,,,NaT,False,,,,,,,False,False,,,
259,asistencias,,,,,NaT,False,,,,,,,False,False,,,
260,asistencias,,,,,NaT,False,,,,,,,False,False,,,
261,asistencias,,,,,NaT,False,,,,,,,False,False,,,
262,asistencias,,,,,NaT,False,,,,,,,False,False,,,
263,asistencias,,,,,NaT,False,,,,,,,False,False,,,
264,asistencias,,,,,NaT,False,,,,,,,False,False,,,
265,asistencias,,,,,NaT,False,,,,,,,False,False,,,
266,asistencias,,,,,NaT,False,,,,,,,False,False,,,
267,asistencias,,,,,NaT,False,,,,,,,False,False,,,
268,asistencias,,,,,NaT,False,,,,,,,False,False,,,
269,asistencias,,,,,NaT,False,,,,,,,False,False,,,
270,asistencias,,,,,NaT,False,,,,,,,False,False,,,
271,asistencias,,,,,NaT,False,,,,,,,False,False,,,
272,asistencias,,,,,NaT,False,,,,,,,False,False,,,
273,asistencias,,,,,NaT,False,,,,,,,False,False,,,
274,asistencias,,,,,NaT,False,,,,,,,False,False,,,
275,asistencias,,,,,NaT,False,,,,,,,False,False,,,
276,asistencias,,,,,NaT,False,,,,,,,False,False,,,
277,asistencias,,,,,NaT,False,,,,,,,False,False,,,
278,asistencias,,,,,NaT,False,,,,,,,False,False,,,
279,asistencias,,,,,NaT,False,,,,,,,False,False,,,
280,asistencias,,,,,NaT,False,,,,,,,False,False,,,
281,asistencias,,,,,NaT,False,,,,,,,False,False,,,
282,asistencias,,,,,NaT,False,,,,,,,False,False,,,
283,asistencias,,,,,NaT,False,,,,,,,False,False,,,
284,asistencias,,,,,NaT,False,,,,,,,False,False,,,
285,asistencias,,,,,NaT,False,,,,,,,False,False,,,
286,asistencias,,,,,NaT,False,,,,,,,False,False,,,
287,asistencias,,,,,NaT,False,,,,,,,False,False,,,
288,asistencias,,,,,NaT,False,,,,,,,False,False,,,
289,asistencias,,,,,NaT,False,,,,,,,False,False,,,
290,asistencias,,,,,NaT,False,,,,,,,False,False,,,
291,asistencias,,,,,NaT,False,,,,,,,False,False,,,
292,asistencias,,,,,NaT,False,,,,,,,False,False,,,
293,asistencias,,,,,NaT,False,,,,,,,False,False,,,
294,asistencias,,,,,NaT,False,,,,,,,False,False,,,
295,asistencias,,,,,NaT,False,,,,,,,False,False,,,
296,asistencias,,,,,NaT,False,,,,,,,False,False,,,
297,asistencias,,,,,NaT,False,,,,,,,False,False,,,
298,asistencias,,,,,NaT,False,,,,,,,False,False,,,
299,asistencias,,,,,NaT,False,,,,,,,False,False,,,
300,asistencias,,,,,NaT,False,,,,,,,False,False,,,
301,asistencias,,,,,NaT,False,,,,,,,False,False,,,
302,asistencias,,,,,NaT,False,,,,,,,False,False,,,
303,asistencias,,,,,NaT,False,,,,,,,False,False,,,
304,asistencias,,,,,NaT,False,,,,,,,False,False,,,
305,asistencias,,,,,NaT,False,,,,,,,False,False,,,
306,asistencias,,,,,NaT,False,,,,,,,False,False,,,
307,asistencias,,,,,NaT,False,,,,,,,False,False,,,
308,asistencias,,,,,NaT,False,,,,,,,False,False,,,
309,asistencias,,,,,NaT,False,,,,,,,False,False,,,
310,asistencias,,,,,NaT,False,,,,,,,False,False,,,
311,asistencias,,,,,NaT,False,,,,,,,False,False,,,
312,asistencias,,,,,NaT,False,,,,,,,False,False,,,
313,asistencias,,,,,NaT,False,,,,,,,False,False,,,
314,asistencias,,,,,NaT,False,,,,,,,False,False,,,
315,asistencias,,,,,NaT,False,,,,,,,False,False,,,
316,asistencias,,,,,NaT,False,,,,,,,False,False,,,
317,asistencias,,,,,NaT,False,,,,,,,False,False,,,
318,asistencias,,,,,NaT,False,,,,,,,False,False,,,
319,asistencias,,,,,NaT,False,,,,,,,False,False,,,
320,asistencias,,,,,NaT,False,,,,,,,False,False,,,
321,asistencias,,,,,NaT,False,,,,,,,False,False,,,
322,asistencias,,,,,NaT,False,,,,,,,False,False,,,
323,asistencias,,,,,NaT,False,,,,,,,False,False,,,
324,asistencias,,,,,NaT,False,,,,,,,False,False,,,
325,asistencias,,,,,NaT,False,,,,,,,False,False,,,
326,asistencias,,,,,NaT,False,,,,,,,False,False,,,
327,asistencias,,,,,NaT,False,,,,,,,False,False,,,
328,asistencias,,,,,NaT,False,,,,,,,False,False,,,
329,asistencias,,,,,NaT,False,,,,,,,False,False,,,
330,asistencias,,,,,NaT,False,,,,,,,False,False,,,
331,asistencias,,,,,NaT,False,,,,,,,False,False,,,
332,asistencias,,,,,NaT,False,,,,,,,False,False,,,
333,asistencias,,,,,NaT,False,,,,,,,False,False,,,
334,asistencias,,,,,NaT,False,,,,,,,False,False,,,
335,asistencias,,,,,NaT,False,,,,,,,False,False,,,
336,asistencias,,,,,NaT,False,,,,,,,False,False,,,
337,asistencias,,,,,NaT,False,,,,,,,False,False,,,
338,asistencias,,,,,NaT,False,,,,,,,False,False,,,
339,asistencias,,,,,NaT,False,,,,,,,False,False,,,
340,asistencias,,,,,NaT,False,,,,,,,False,False,,,
341,asistencias,,,,,NaT,False,,,,,,,False,False,,,
342,asistencias,,,,,NaT,False,,,,,,,False,False,,,
343,asistencias,,,,,NaT,False,,,,,,,False,False,,,
344,asistencias,,,,,NaT,False,,,,,,,False,False,,,
345,asistencias,,,,,NaT,False,,,,,,,False,False,,,
346,asistencias,,,,,NaT,False,,,,,,,False,False,,,
347,asistencias,,,,,NaT,False,,,,,,,False,False,,,
348,asistencias,,,,,NaT,False,,,,,,,False,False,,,
349,asistencias,,,,,NaT,False,,,,,,,False,False,,,
350,asistencias,,,,,NaT,False,,,,,,,False,False,,,
351,asistencias,,,,,NaT,False,,,,,,,False,False,,,
352,asistencias,,,,,NaT,False,,,,,,,False,False,,,
353,asistencias,,,,,NaT,False,,,,,,,False,False,,,
354,asistencias,,,,,NaT,False,,,,,,,False,False,,,
355,asistencias,,,,,NaT,False,,,,,,,False,False,,,
356,asistencias,,,,,NaT,False,,,,,,,False,False,,,
357,asistencias,,,,,NaT,False,,,,,,,False,False,,,
358,asistencias,,,,,NaT,False,,,,,,,False,False,,,
359,asistencias,,,,,NaT,False,,,,,,,False,False,,,
360,asistencias,,,,,NaT,False,,,,,,,False,False,,,
361,asistencias,,,,,NaT,False,,,,,,,False,False,,,
362,asistencias,,,,,NaT,False,,,,,,,False,False,,,
363,asistencias,,,,,NaT,False,,,,,,,False,False,,,
364,asistencias,,,,,NaT,False,,,,,,,False,False,,,
365,asistencias,,,,,NaT,False,,,,,,,False,False,,,
366,asistencias,,,,,NaT,False,,,,,,,False,False,,,
367,asistencias,,,,,NaT,False,,,,,,,False,False,,,
368,asistencias,,,,,NaT,False,,,,,,,False,False,,,
369,asistencias,,,,,NaT,False,,,,,,,False,False,,,
370,asistencias,,,,,NaT,False,,,,,,,False,False,,,
371,asistencias,,,,,NaT,False,,,,,,,False,False,,,
372,asistencias,,,,,NaT,False,,,,,,,False,False,,,
373,asistencias,,,,,NaT,False,,,,,,,False,False,,,
374,asistencias,,,,,NaT,False,,,,,,,False,False,,,
375,asistencias,,,,,NaT,False,,,,,,,False,False,,,
376,asistencias,,,,,NaT,False,,,,,,,False,False,,,
377,asistencias,,,,,NaT,False,,,,,,,False,False,,,
