row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_estado_incompleto,municipio,estado_pirdes,implementado_mes,participantes_totales,n_tecnicos,n_operarios,requiere_seguimiento,observaciones
350,pirdes,,,,,,False,,False,,,False,,,,,
351,pirdes,,,,,,False,,False,,,False,,,,,
352,pirdes,,,,,,False,,False,,,False,,,,,
353,pirdes,,,,,,False,,False,,,False,,,,,
354,pirdes,,,,,,False,,False,,,False,,,,,
355,pirdes,,,,,,False,,False,,,False,,,,,
356,pirdes,,,,,,False,,False,,,False,,,,,
357,pirdes,,,,,,False,,False,,,False,,,,,
358,pirdes,,,,,,False,,False,,,False,,,,,
359,pirdes,,,,,,False,,False,,,False,,,,,
360,pirdes,,,,,,False,,False,,,False,,,,,
361,pirdes,,,,,,False,,False,,,False,,,,,
362,pirdes,,,,,,False,,False,,,False,,,,,
363,pirdes,,,,,,False,,False,,,False,,,,,
364,pirdes,,,,,,False,,False,,,False,,,,,
365,pirdes,,,,,,False,,False,,,False,,,,,
366,pirdes,,,,,,False,,False,,,False,,,,,
367,pirdes,,,,,,False,,False,,,False,,,,,
368,pirdes,,,,,,False,,False,,,False,,,,,
369,pirdes,,,,,,False,,False,,,False,,,,,
370,pirdes,,,,,,False,,False,,,False,,,,,
371,pirdes,,,,,,False,,False,,,False,,,,,
372,pirdes,,,,,,False,,False,,,False,,,,,
373,pirdes,,,,,,False,,False,,,False,,,,,
374,pirdes,,,,,,False,,False,,,False,,,,,
375,pirdes,,,,,,False,,False,,,False,,,,,
376,pirdes,,,,,,False,,False,,,False,,,,,
377,pirdes,,,,,,False,,False,,,False,,,,,
378,pirdes,,,,,,False,,False,,,False,,,,,
379,pirdes,,,,,,False,,False,,,False,,,,,
380,pirdes,,,,,,False,,False,,,False,,,,,
381,pirdes,,,,,,False,,False,,,False,,,,,
382,pirdes,,,,,,False,,False,,,False,,,,,
383,pirdes,,,,,,False,,False,,,False,,,,,
384,pirdes,,,,,,False,,False,,,False,,,,,
385,pirdes,,,,,,False,,False,,,False,,,,,
386,pirdes,,,,,,False,,False,,,False,,,,,
387,pirdes,,,,,,False,,False,,,False,,,,,
388,pirdes,,,,,,False,,False,,,False,,,,,
389,pirdes,,,,,,False,,False,,,False,,,,,
390,pirdes,,,,,,False,,False,,,False,,,,,
391,pirdes,,,,,,False,,False,,,False,,,,,
392,pirdes,,,,,,False,,False,,,False,,,,,
393,pirdes,,,,,,False,,False,,,False,,,,,
394,pirdes,,,,,,False,,False,,,False,,,,,
395,pirdes,,,,,,False,,False,,,False,,,,,
396,pirdes,,,,,,False,,False,,,False,,,,,
397,pirdes,,,,,,False,,False,,,False,,,,,
398,pirdes,,,,,,False,,False,,,False,,,,,
399,pirdes,,,,,,False,,False,,,False,,,,,
400,pirdes,,,,,,False,,False,,,False,,,,,
401,pirdes,,,,,,False,,False,,,False,,,,,
402,pirdes,,,,,,False,,False,,,False,,,,,
403,pirdes,,,,,,False,,False,,,False,,,,,
404,pirdes,,,,,,False,,False,,,False,,,,,
405,pirdes,,,,,,False,,False,,,False,,,,,
406,pirdes,,,,,,False,,False,,,False,,,,,
407,pirdes,,,,,,False,,False,,,False,,,,,
408,pirdes,,,,,,False,,False,,,False,,,,,
409,pirdes,,,,,,False,,False,,,False,,,,,
410,pirdes,,,,,,False,,False,,,False,,,,,
411,pirdes,,,,,,False,,False,,,False,,,,,
412,pirdes,,,,,,False,,False,,,False,,,,,
413,pirdes,,,,,,False,,False,,,False,,,,,
414,pirdes,,,,,,False,,False,,,False,,,,,
415,pirdes,,,,,,False,,False,,,False,,,,,
416,pirdes,,,,,,False,,False,,,False,,,,,
417,pirdes,,,,,,False,,False,,,False,,,,,
418,pirdes,,,,,,False,,False,,,False,,,,,
419,pirdes,,,,,,False,,False,,,False,,,,,
420,pirdes,,,,,,False,,False,,,False,,,,,
421,pirdes,,,,,,False,,False,,,False,,,,,
422,pirdes,,,,,,False,,False,,,False,,,,,
423,pirdes,,,,,,False,,False,,,False,,,,,
424,pirdes,,,,,,False,,False,,,False,,,,,
425,pirdes,,,,,,False,,False,,,False,,,,,
426,pirdes,,,,,,False,,False,,,False,,,,,
427,pirdes,,,,,,False,,False,,,False,,,,,
428,pirdes,,,,,,False,,False,,,False,,,,,
429,pirdes,,,,,,False,,False,,,False,,,,,
430,pirdes,,,,,,False,,False,,,False,,,,,
431,pirdes,,,,,,False,,False,,,False,,,,,
432,pirdes,,,,,,False,,False,,,False,,,,,
433,pirdes,,,,,,False,,False,,,False,,,,,
434,pirdes,,,,,,False,,False,,,False,,,,,
435,pirdes,,,,,,False,,False,,,False,,,,,
436,pirdes,,,,,,False,,False,,,False,,,,,
437,pirdes,,,,,,False,,False,,,False,,,,,
438,pirdes,,,,,,False,,False,,,False,,,,,
439,pirdes,,,,,,False,,False,,,False,,,,,
440,pirdes,,,,,,False,,False,,,False,,,,,
441,pirdes,,,,,,False,,False,,,False,,,,,
442,pirdes,,,,,,False,,False,,,False,,,,,
443,pirdes,,,,,,False,,False,,,False,,,,,
444,pirdes,,,,,,False,,False,,,False,,,,,
445,pirdes,,,,,,False,,False,,,False,,,,,
446,pirdes,,,,,,False,,False,,,False,,,,,
447,pirdes,,,,,,False,,False,,,False,,,,,
448,pirdes,,,,,,False,,False,,,False,,,,,
449,pirdes,,,,,,False,,False,,,False,,,,,
450,pirdes,,,,,,False,,False,,,False,,,,,
451,pirdes,,,,,,False,,False,,,False,,,,,
452,pirdes,,,,,,False,,False,,,False,,,,,
453,pirdes,,,,,,False,,False,,,False,,,,,
454,pirdes,,,,,,False,,False,,,False,,,,,
455,pirdes,,,,,,False,,False,,,False,,,,,
456,pirdes,,,,,,False,,False,,,False,,,,,
457,pirdes,,,,,,False,,False,,,False,,,,,
458,pirdes,,,,,,False,,False,,,False,,,,,
459,pirdes,,,,,,False,,False,,,False,,,,,
460,pirdes,,,,,,False,,False,,,False,,,,,
461,pirdes,,,,,,False,,False,,,False,,,,,
462,pirdes,,,,,,False,,False,,,False,,,,,
463,pirdes,,,,,,False,,False,,,False,,,,,
464,pirdes,,,,,,False,,False,,,False,,,,,
465,pirdes,,,,,,False,,False,,,False,,,,,
466,pirdes,,,,,,False,,False,,,False,,,,,
467,pirdes,,,,,,False,,False,,,False,,,,,
468,pirdes,,,,,,False,,False,,,False,,,,,
469,pirdes,,,,,,False,,False,,,False,,,,,
470,pirdes,,,,,,False,,False,,,False,,,,,
471,pirdes,,,,,,False,,False,,,False,,,,,
472,pirdes,,,,,,False,,False,,,False,,,,,
473,pirdes,,,,,,False,,False,,,False,,,,,
474,pirdes,,,,,,False,,False,,,False,,,,,
475,pirdes,,,,,,False,,False,,,False,,,,,
476,pirdes,,,,,,False,,False,,,False,,,,,
477,pirdes,,,,,,False,,False,,,False,,,,,
478,pirdes,,,,,,False,,False,,,False,,,,,
479,pirdes,,,,,,False,,False,,,False,,,,,
480,pirdes,,,,,,False,,False,,,False,,,,,
481,pirdes,,,,,,False,,False,,,False,,,,,
482,pirdes,,,,,,False,,False,,,False,,,,,
483,pirdes,,,,,,False,,False,,,False,,,,,
484,pirdes,,,,,,False,,False,,,False,,,,,
485,pirdes,,,,,,False,,False,,,False,,,,,
486,pirdes,,,,,,False,,False,,,False,,,,,
487,pirdes,,,,,,False,,False,,,False,,,,,
488,pirdes,,,,,,False,,False,,,False,,,,,
489,pirdes,,,,,,False,,False,,,False,,,,,
490,pirdes,,,,,,False,,False,,,False,,,,,
491,pirdes,,,,,,False,,False,,,False,,,,,
492,pirdes,,,,,,False,,False,,,False,,,,,
493,pirdes,,,,,,False,,False,,,False,,,,,
494,pirdes,,,,,,False,,False,,,False,,,,,
495,pirdes,,,,,,False,,False,,,False,,,,,
496,pirdes,,,,,,False,,False,,,False,,,,,
497,pirdes,,,,,,False,,False,,,False,,,,,
498,pirdes,,,,,,False,,False,,,False,,,,,
499,pirdes,,,,,,False,,False,,,False,,,,,
500,pirdes,,,,,,False,,False,,,False,,,,,
501,pirdes,,,,,,False,,False,,,False,,,,,
502,pirdes,,,,,,False,,False,,,False,,,,,
503,pirdes,,,,,,False,,False,,,False,,,,,
504,pirdes,,,,,,False,,False,,,False,,,,,
505,pirdes,,,,,,False,,False,,,False,,,,,
506,pirdes,,,,,,False,,False,,,False,,,,,
507,pirdes,,,,,,False,,False,,,False,,,,,
508,pirdes,,,,,,False,,False,,,False,,,,,
