row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_estado_incompleto,tipo_reunion,tema_principal,instituciones_participantes,acuerdos_principales,is_codema,is_mesa_dep,is_mesa_municipal,municipios
162,reuniones,,,,,,False,,False,,,,,False,False,False,
163,reuniones,,,,,,False,,False,,,,,False,False,False,
164,reuniones,,,,,,False,,False,,,,,False,False,False,
165,reuniones,,,,,,False,,False,,,,,False,False,False,
166,reuniones,,,,,,False,,False,,,,,False,False,False,
167,reuniones,,,,,,False,,False,,,,,False,False,False,
168,reuniones,,,,,,False,,False,,,,,False,False,False,
169,reuniones,,,,,,False,,False,,,,,False,False,False,
170,reuniones,,,,,,False,,False,,,,,False,False,False,
171,reuniones,,,,,,False,,False,,,,,False,False,False,
172,reuniones,,,,,,False,,False,,,,,False,False,False,
173,reuniones,,,,,,False,,False,,,,,False,False,False,
174,reuniones,,,,,,False,,False,,,,,False,False,False,
175,reuniones,,,,,,False,,False,,,,,False,False,False,
176,reuniones,,,,,,False,,False,,,,,False,False,False,
177,reuniones,,,,,,False,,False,,,,,False,False,False,
178,reuniones,,,,,,False,,False,,,,,False,False,False,
179,reuniones,,,,,,False,,False,,,,,False,False,False,
180,reuniones,,,,,,False,,False,,,,,False,False,False,
181,reuniones,,,,,,False,,False,,,,,False,False,False,
182,reuniones,,,,,,False,,False,,,,,False,False,False,
183,reuniones,,,,,,False,,False,,,,,False,False,False,
184,reuniones,,,,,,False,,False,,,,,False,False,False,
185,reuniones,,,,,,False,,False,,,,,False,False,False,
186,reuniones,,,,,,False,,False,,,,,False,False,False,
187,reuniones,,,,,,False,,False,,,,,False,False,False,
188,reuniones,,,,,,False,,False,,,,,False,False,False,
189,reuniones,,,,,,False,,False,,,,,False,False,False,
190,reuniones,,,,,,False,,False,,,,,False,False,False,
191,reuniones,,,,,,False,,False,,,,,False,False,False,
192,reuniones,,,,,,False,,False,,,,,False,False,False,
193,reuniones,,,,,,False,,False,,,,,False,False,False,
194,reuniones,,,,,,False,,False,,,,,False,False,False,
195,reuniones,,,,,,False,,False,,,,,False,False,False,
196,reuniones,,,,,,False,,False,,,,,False,False,False,
197,reuniones,,,,,,False,,False,,,,,False,False,False,
198,reuniones,,,,,,False,,False,,,,,False,False,False,
199,reuniones,,,,,,False,,False,,,,,False,False,False,
200,reuniones,,,,,,False,,False,,,,,False,False,False,
201,reuniones,,,,,,False,,False,,,,,False,False,False,
202,reuniones,,,,,,False,,False,,,,,False,False,False,
203,reuniones,,,,,,False,,False,,,,,False,False,False,
204,reuniones,,,,,,False,,False,,,,,False,False,False,
205,reuniones,,,,,,False,,False,,,,,False,False,False,
206,reuniones,,,,,,False,,False,,,,,False,False,False,
207,reuniones,,,,,,False,,False,,,,,False,False,False,
208,reuniones,,,,,,False,,False,,,,,False,False,False,
209,reuniones,,,,,,False,,False,,,,,False,False,False,
210,reuniones,,,,,,False,,False,,,,,False,False,False,
211,reuniones,,,,,,False,,False,,,,,False,False,False,
212,reuniones,,,,,,False,,False,,,,,False,False,False,
213,reuniones,,,,,,False,,False,,,,,False,False,False,
214,reuniones,,,,,,False,,False,,,,,False,False,False,
215,reuniones,,,,,,False,,False,,,,,False,False,False,
216,reuniones,,,,,,False,,False,,,,,False,False,False,
217,reuniones,,,,,,False,,False,,,,,False,False,False,
218,reuniones,,,,,,False,,False,,,,,False,False,False,
219,reuniones,,,,,,False,,False,,,,,False,False,False,
220,reuniones,,,,,,False,,False,,,,,False,False,False,
221,reuniones,,,,,,False,,False,,,,,False,False,False,
222,reuniones,,,,,,False,,False,,,,,False,False,False,
223,reuniones,,,,,,False,,False,,,,,False,False,False,
224,reuniones,,,,,,False,,False,,,,,False,False,False,
225,reuniones,,,,,,False,,False,,,,,False,False,False,
226,reuniones,,,,,,False,,False,,,,,False,False,False,
227,reuniones,,,,,,False,,False,,,,,False,False,False,
228,reuniones,,,,,,False,,False,,,,,False,False,False,
229,reuniones,,,,,,False,,False,,,,,False,False,False,
230,reuniones,,,,,,False,,False,,,,,False,False,False,
231,reuniones,,,,,,False,,False,,,,,False,False,False,
232,reuniones,,,,,,False,,False,,,,,False,False,False,
233,reuniones,,,,,,False,,False,,,,,False,False,False,
234,reuniones,,,,,,False,,False,,,,,False,False,False,
235,reuniones,,,,,,False,,False,,,,,False,False,False,
236,reuniones,,,,,,False,,False,,,,,False,False,False,
237,reuniones,,,,,,False,,False,,,,,False,False,False,
238,reuniones,,,,,,False,,False,,,,,False,False,False,
239,reuniones,,,,,,False,,False,,,,,False,False,False,
240,reuniones,,,,,,False,,False,,,,,False,False,False,
241,reuniones,,,,,,False,,False,,,,,False,False,False,
242,reuniones,,,,,,False,,False,,,,,False,False,False,
243,reuniones,,,,,,False,,False,,,,,False,False,False,
244,reuniones,,,,,,False,,False,,,,,False,False,False,
245,reuniones,,,,,,False,,False,,,,,False,False,False,
246,reuniones,,,,,,False,,False,,,,,False,False,False,
247,reuniones,,,,,,False,,False,,,,,False,False,False,
248,reuniones,,,,,,False,,False,,,,,False,False,False,
249,reuniones,,,,,,False,,False,,,,,False,False,False,
250,reuniones,,,,,,False,,False,,,,,False,False,False,
251,reuniones,,,,,,False,,False,,,,,False,False,False,
252,reuniones,,,,,,False,,False,,,,,False,False,False,
253,reuniones,,,,,,False,,False,,,,,False,False,False,
254,reuniones,,,,,,False,,False,,,,,False,False,False,
255,reuniones,,,,,,False,,False,,,,,False,False,False,
256,reuniones,,,,,,False,,False,,,,,False,False,False,
257,reuniones,,,,,,False,,False,,,,,False,False,False,
258,reuniones,,,,,,False,,False,,,,,False,False,False,
259,reuniones,,,,,,False,,False,,,,,False,False,False,
260,reuniones,,,,,,False,,False,,,,,False,False,False,
261,reuniones,,,,,,False,,False,,,,,False,False,False,
262,reuniones,,,,,,False,,False,,,,,False,False,False,
263,reuniones,,,,,,False,,False,,,,,False,False,False,
264,reuniones,,,,,,False,,False,,,,,False,False,False,
265,reuniones,,,,,,False,,False,,,,,False,False,False,
266,reuniones,,,,,,False,,False,,,,,False,False,False,
267,reuniones,,,,,,False,,False,,,,,False,False,False,
268,reuniones,,,,,,False,,False,,,,,False,False,False,
269,reuniones,,,,,,False,,False,,,,,False,False,False,
270,reuniones,,,,,,False,,False,,,,,False,False,False,
271,reuniones,,,,,,False,,False,,,,,False,False,False,
272,reuniones,,,,,,False,,False,,,,,False,False,False,
273,reuniones,,,,,,False,,False,,,,,False,False,False,
