row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_municipio_missing,row_alert_estado_incompleto,modalidad,tipo_actividad,participantes_totales,n_tecnicos,n_operarios,n_otro_personal,instituciones_participantes,observaciones,municipios,temas,temas_nucleo,has_core_theme
198,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
199,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
200,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
201,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
202,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
203,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
204,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
205,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
206,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
207,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
208,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
209,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
210,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
211,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
212,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
213,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
214,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
215,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
216,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
217,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
218,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
219,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
220,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
221,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
222,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
223,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
224,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
225,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
226,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
227,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
228,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
229,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
230,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
231,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
232,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
233,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
234,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
235,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
236,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
237,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
238,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
239,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
240,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
241,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
242,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
243,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
244,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
245,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
246,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
247,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
248,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
249,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
250,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
251,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
252,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
253,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
254,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
255,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
256,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
257,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
258,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
259,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
260,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
261,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
262,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
263,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
264,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
265,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
266,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
267,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
268,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
269,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
270,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
271,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
272,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
273,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
274,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
275,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
276,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
277,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
