program_id,program_name,periodo_clave,mes_num,mes_label,indicator_id,indicador_nombre,unidad,categoria,modelo_medicion,valor_mes,valor_acumulado,meta_mes,meta_anual,esperado_al_corte,pct_meta_anual,pct_vs_esperado,cumplio_mes,meses_cumplidos,meses_transcurridos,aporta_metas_epc,estatus,orden_dashboard,is_latest_data_month
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,capitales_semilla,Capitales semilla entregados,capitales,estrategico,milestone_window,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,1,True,gris,9,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,act_reforestacion,Campañas de reforestación,actividades,tactico,annual_cumulative_profiled,0.0,0.0,0.0,20.0,1.6,0.0,0.0,0,0,1,True,rojo,10,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,act_monitoreo_reforestadas,Monitoreo de áreas reforestadas,actividades,tactico,annual_cumulative_profiled,0.0,0.0,0.0,8.0,0.64,0.0,0.0,0,0,1,True,rojo,11,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,act_tul,Manejo / poda / mantenimiento de tul,actividades,tactico,annual_cumulative_profiled,1.0,1.0,0.0,10.0,0.8,0.1,1.25,1,0,1,True,verde,12,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,act_ferias,Ferias ambientales,actividades,tactico,annual_cumulative_profiled,1.0,1.0,0.0,16.0,1.28,0.0625,0.78125,1,0,1,True,rojo,13,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,act_huertos,Huertos escolares,actividades,tactico,milestone_window,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,0,1,True,gris,14,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,act_giras,Giras educativas,actividades,tactico,annual_cumulative_profiled,4.0,4.0,0.0,24.0,1.92,0.16666666666666666,2.0833333333333335,1,0,1,True,verde,15,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,act_murales,Murales pedagógicos,actividades,tactico,milestone_window,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,1,True,gris,16,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,act_centros_acopio,Centros de acopio escolar,actividades,tactico,milestone_window,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,0,1,True,gris,17,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,act_limpiezas,Campañas de limpieza escolar,actividades,tactico,annual_cumulative_profiled,4.0,4.0,0.0,24.0,1.92,0.16666666666666666,2.0833333333333335,1,0,1,True,verde,18,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,act_proyectos_gestion,Proyectos de gestión ambiental escolar,actividades,tactico,milestone_window,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,True,gris,19,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,docentes_capacitados,Docentes capacitados,personas,estrategico,monthly_recurrent,,1.0,121.0,8.0,2.0,0.125,0.5,0,1,2,True,rojo,1,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,centros_cobertura,Centros alcanzados,centros,estrategico,monthly_recurrent,,1.0,50.0,8.0,2.0,0.125,0.5,0,1,2,True,rojo,2,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,municipios_actividad_pedagogica,Municipios con actividad pedagógica,municipios,estrategico,monthly_recurrent,,1.0,13.0,8.0,2.0,0.125,0.5,0,1,2,True,rojo,3,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,estudiantes_epc,Estudiantes EPC,estudiantes,estrategico,monthly_recurrent,,1.0,3514.0,8.0,2.0,0.125,0.5,0,1,2,True,rojo,4,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,actividades_campo,Actividades de campo,actividades,estrategico,annual_cumulative_profiled,,,0.0,128.0,24.32,,,0,0,2,True,rojo,5,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,estudiantes_actividades_campo,Estudiantes en actividades de campo,estudiantes,estrategico,annual_cumulative_profiled,,,0.0,3514.0,667.66,,,0,0,2,True,rojo,6,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,jovenes_formados_diplomado,Jóvenes formados en diplomado,jóvenes,estrategico,milestone_window,,,0.0,120.0,0.0,,0.0,0,0,2,True,gris,7,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,propuestas_juveniles,Propuestas juveniles,propuestas,estrategico,milestone_window,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0,0,2,True,gris,8,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,capitales_semilla,Capitales semilla entregados,capitales,estrategico,milestone_window,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,2,True,gris,9,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,act_reforestacion,Campañas de reforestación,actividades,tactico,annual_cumulative_profiled,,,0.0,20.0,3.8,,,0,0,2,True,rojo,10,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,act_monitoreo_reforestadas,Monitoreo de áreas reforestadas,actividades,tactico,annual_cumulative_profiled,,,0.0,8.0,1.52,,,0,0,2,True,rojo,11,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,act_tul,Manejo / poda / mantenimiento de tul,actividades,tactico,annual_cumulative_profiled,,,0.0,10.0,1.9,,,0,0,2,True,rojo,12,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,act_ferias,Ferias ambientales,actividades,tactico,annual_cumulative_profiled,,,0.0,16.0,3.04,,,0,0,2,True,rojo,13,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,act_huertos,Huertos escolares,actividades,tactico,milestone_window,,,0.0,8.0,0.0,,0.0,0,0,2,True,gris,14,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,act_giras,Giras educativas,actividades,tactico,annual_cumulative_profiled,,,0.0,24.0,4.5600000000000005,,,0,0,2,True,rojo,15,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,act_murales,Murales pedagógicos,actividades,tactico,milestone_window,,,0.0,4.0,0.0,,0.0,0,0,2,True,gris,16,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,act_centros_acopio,Centros de acopio escolar,actividades,tactico,milestone_window,,,0.0,8.0,0.0,,0.0,0,0,2,True,gris,17,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,act_limpiezas,Campañas de limpieza escolar,actividades,tactico,annual_cumulative_profiled,,,0.0,24.0,4.5600000000000005,,,0,0,2,True,rojo,18,False
educando_para_conservar,Educando para Conservar,2026-04,4,Abril,act_proyectos_gestion,Proyectos de gestión ambiental escolar,actividades,tactico,milestone_window,,,0.0,2.0,0.0,,0.0,0,0,2,True,gris,19,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,docentes_capacitados,Docentes capacitados,personas,estrategico,monthly_recurrent,,1.0,121.0,8.0,3.0,0.125,0.3333333333333333,0,1,3,True,rojo,1,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,centros_cobertura,Centros alcanzados,centros,estrategico,monthly_recurrent,,1.0,50.0,8.0,3.0,0.125,0.3333333333333333,0,1,3,True,rojo,2,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,municipios_actividad_pedagogica,Municipios con actividad pedagógica,municipios,estrategico,monthly_recurrent,,1.0,13.0,8.0,3.0,0.125,0.3333333333333333,0,1,3,True,rojo,3,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,estudiantes_epc,Estudiantes EPC,estudiantes,estrategico,monthly_recurrent,,1.0,3514.0,8.0,3.0,0.125,0.3333333333333333,0,1,3,True,rojo,4,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,actividades_campo,Actividades de campo,actividades,estrategico,annual_cumulative_profiled,,,0.0,128.0,40.96,,,0,0,3,True,rojo,5,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,estudiantes_actividades_campo,Estudiantes en actividades de campo,estudiantes,estrategico,annual_cumulative_profiled,,,0.0,3514.0,1124.48,,,0,0,3,True,rojo,6,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,jovenes_formados_diplomado,Jóvenes formados en diplomado,jóvenes,estrategico,milestone_window,,,0.0,120.0,0.0,,0.0,0,0,3,True,gris,7,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,propuestas_juveniles,Propuestas juveniles,propuestas,estrategico,milestone_window,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0,0,3,True,gris,8,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,capitales_semilla,Capitales semilla entregados,capitales,estrategico,milestone_window,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,3,True,gris,9,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,act_reforestacion,Campañas de reforestación,actividades,tactico,annual_cumulative_profiled,,,0.0,20.0,6.4,,,0,0,3,True,rojo,10,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,act_monitoreo_reforestadas,Monitoreo de áreas reforestadas,actividades,tactico,annual_cumulative_profiled,,,0.0,8.0,2.56,,,0,0,3,True,rojo,11,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,act_tul,Manejo / poda / mantenimiento de tul,actividades,tactico,annual_cumulative_profiled,,,0.0,10.0,3.2,,,0,0,3,True,rojo,12,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,act_ferias,Ferias ambientales,actividades,tactico,annual_cumulative_profiled,,,0.0,16.0,5.12,,,0,0,3,True,rojo,13,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,act_huertos,Huertos escolares,actividades,tactico,milestone_window,,,0.0,8.0,0.0,,0.0,0,0,3,True,gris,14,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,act_giras,Giras educativas,actividades,tactico,annual_cumulative_profiled,,,0.0,24.0,7.68,,,0,0,3,True,rojo,15,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,act_murales,Murales pedagógicos,actividades,tactico,milestone_window,,,0.0,4.0,0.0,,0.0,0,0,3,True,gris,16,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,act_centros_acopio,Centros de acopio escolar,actividades,tactico,milestone_window,,,0.0,8.0,0.0,,0.0,0,0,3,True,gris,17,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,act_limpiezas,Campañas de limpieza escolar,actividades,tactico,annual_cumulative_profiled,,,0.0,24.0,7.68,,,0,0,3,True,rojo,18,False
educando_para_conservar,Educando para Conservar,2026-05,5,Mayo,act_proyectos_gestion,Proyectos de gestión ambiental escolar,actividades,tactico,milestone_window,,,0.0,2.0,0.0,,0.0,0,0,3,True,gris,19,False
educando_para_conservar,Educando para Conservar,2026-06,6,Junio,docentes_capacitados,Docentes capacitados,personas,estrategico,monthly_recurrent,,1.0,121.0,8.0,4.0,0.125,0.25,0,1,4,True,rojo,1,False
educando_para_conservar,Educando para Conservar,2026-06,6,Junio,centros_cobertura,Centros alcanzados,centros,estrategico,monthly_recurrent,,1.0,50.0,8.0,4.0,0.125,0.25,0,1,4,True,rojo,2,False
educando_para_conservar,Educando para Conservar,2026-06,6,Junio,municipios_actividad_pedagogica,Municipios con actividad pedagógica,municipios,estrategico,monthly_recurrent,,1.0,13.0,8.0,4.0,0.125,0.25,0,1,4,True,rojo,3,False
educando_para_conservar,Educando para Conservar,2026-06,6,Junio,estudiantes_epc,Estudiantes EPC,estudiantes,estrategico,monthly_recurrent,,1.0,3514.0,8.0,4.0,0.125,0.25,0,1,4,True,rojo,4,False
educando_para_conservar,Educando para Conservar,2026-06,6,Junio,actividades_campo,Actividades de campo,actividades,estrategico,annual_cumulative_profiled,,,0.0,128.0,60.16,,,0,0,4,True,rojo,5,False
educando_para_conservar,Educando para Conservar,2026-06,6,Junio,estudiantes_actividades_campo,Estudiantes en actividades de campo,estudiantes,estrategico,annual_cumulative_profiled,,,0.0,3514.0,1651.58,,,0,0,4,True,rojo,6,False
educando_para_conservar,Educando para Conservar,2026-06,6,Junio,jovenes_formados_diplomado,Jóvenes formados en diplomado,jóvenes,estrategico,milestone_window,,,0.0,120.0,60.0,,,0,0,4,True,azul,7,False
educando_para_conservar,Educando para Conservar,2026-06,6,Junio,propuestas_juveniles,Propuestas juveniles,propuestas,estrategico,milestone_window,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0,0,4,True,azul,8,False
educando_para_conservar,Educando para Conservar,2026-06,6,Junio,capitales_semilla,Capitales semilla entregados,capitales,estrategico,milestone_window,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0,0,4,True,azul,9,False
