record_key,programa,anio,mes,recolector,municipio_origen,zona_codigo,material,cantidad,pagado_unit_gtq,precio_vendido_unit_gtq,gtq_total_pagados,ingreso_total_venta,ingreso_cooperativa,source_sheet,source_row
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Plástico duro (PP)|104,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,T - Panajachel,T,Plástico duro (PP),7,50,50,350,350,0,Compras,104
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Plástico soplado (PEAD)|105,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,T - Panajachel,T,Plástico soplado (PEAD),11.7,40,40,468,468,0,Compras,105
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Cartón |106,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,T - Panajachel,T,Cartón ,264.87,10,10,2648.7,2648.7,0,Compras,106
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Papel mixto |107,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,T - Panajachel,T,Papel mixto ,77.39,30,30,2321.7,2321.7,0,Compras,107
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Quintal vidrio TR|108,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,T - Panajachel,T,Quintal vidrio TR,512.43,23,23,11785.89,11785.89,0,Compras,108
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Quintal vidrio AM|109,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,T - Panajachel,T,Quintal vidrio AM,5.19,23,23,119.37,119.37,0,Compras,109
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Quintal vidrio VER|110,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,T - Panajachel,T,Quintal vidrio VER,2.41,10,10,24.1,24.1,0,Compras,110
Cooperativa Atitlán Recicla|ENE|T - Santa Lucía Utatlán|PET transparente|111,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,T - Santa Lucía Utatlán,T,PET transparente,3.63,35,40,127.05,145.2,18.14999999999999,Compras,111
Cooperativa Atitlán Recicla|ENE|T - Santa Lucía Utatlán|PET verde|112,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,T - Santa Lucía Utatlán,T,PET verde,0.55,15,15,8.25,8.25,0,Compras,112
Cooperativa Atitlán Recicla|ENE|T - Santa Lucía Utatlán|PET celeste|113,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,T - Santa Lucía Utatlán,T,PET celeste,0.75,15,20,11.25,15,3.75,Compras,113
