programa,anio,mes_num,mes,zona_codigo,municipio_origen,material,cantidad,pagado_unit_gtq,precio_vendido_unit_gtq,gtq_total_pagados,ingreso_total_venta,ingreso_cooperativa
atitlan_recicla,2026,1,ENE,LL,LL - Jaibalito,PET transparente,0.95,40.0,40.0,38.0,38.0,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Jaibalito,PET verde,0.11,15.0,15.0,1.65,1.65,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Jaibalito,Quintal vidrio VER,1.4,10.0,10.0,14.0,14.0,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Jaibalito,Quintal vidrio mixto,3.55,22.0,22.0,78.1,78.1,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,Aluminio latas,0.16,300.0,300.0,48.0,48.0,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,Cartón,21.55,10.0,10.0,215.5,215.5,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,Chatarra 2da.,3.75,20.0,20.0,75.0,75.0,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,PET celeste,0.14,15.0,15.0,2.1,2.1,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,PET transparente,0.4,50.0,50.0,20.0,20.0,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,PET verde,0.02,15.0,15.0,0.3,0.3,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,Papel mixto,2.58,20.0,20.0,51.6,51.6,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,Plástico duro (PP),0.37,25.0,25.0,9.25,9.25,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,Plástico soplado (PEAD),0.51,30.0,30.0,15.3,15.3,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,Quintal vidrio AM,4.03,20.0,20.0,80.60000000000001,80.60000000000001,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,Quintal vidrio TR,44.23,21.0,21.0,928.8299999999999,928.8299999999999,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Juan la Laguna,Quintal vidrio sucio,0.72,12.0,12.0,8.64,8.64,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Marcos la Laguna,Cartón,6.15,10.0,10.0,61.5,61.5,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Marcos la Laguna,PET celeste,2.86,15.0,15.0,42.9,42.9,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Marcos la Laguna,PET transparente,5.2,25.0,50.0,130.0,260.0,130.0
atitlan_recicla,2026,1,ENE,LL,LL - San Marcos la Laguna,PET verde,0.25,10.0,15.0,2.5,3.75,1.25
atitlan_recicla,2026,1,ENE,LL,LL - San Marcos la Laguna,Papel mixto,0.45,20.0,20.0,9.0,9.0,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Marcos la Laguna,Plástico duro (PP),1.05,25.0,25.0,26.25,26.25,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Marcos la Laguna,Plástico soplado (PEAD),1.25,30.0,30.0,37.5,37.5,0.0
atitlan_recicla,2026,1,ENE,LL,LL - San Marcos la Laguna,Quintal vidrio AM,5.35,15.0,20.0,80.25,107.0,26.75
atitlan_recicla,2026,1,ENE,LL,LL - San Marcos la Laguna,Quintal vidrio TR,15.45,17.0,21.0,262.65,324.45,61.80000000000001
atitlan_recicla,2026,1,ENE,LL,LL - San Marcos la Laguna,Quintal vidrio sucio,2.1,10.0,12.0,21.0,25.200000000000003,4.200000000000003
atitlan_recicla,2026,1,ENE,LL,LL - Santa Cruz la Laguna,Cartón,5.28,10.0,10.0,52.800000000000004,52.800000000000004,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Santa Cruz la Laguna,Galones de aceite,0.03,20.0,20.0,0.6,0.6,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Santa Cruz la Laguna,PET celeste,0.16,20.0,20.0,3.2,3.2,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Santa Cruz la Laguna,PET transparente,0.7,40.0,40.0,28.0,28.0,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Santa Cruz la Laguna,PET verde,0.16,15.0,15.0,2.4,2.4,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Santa Cruz la Laguna,Plástico soplado (PEAD),0.35,35.0,35.0,12.25,12.25,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Santa Cruz la Laguna,Quintal vidrio VER,11.39,10.0,10.0,113.9,113.9,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Santa Cruz la Laguna,Quintal vidrio mixto,19.23,22.0,22.0,423.06,423.06,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,Botella Modelo Limpia,454.0,0.45,0.95,204.3,431.29999999999995,226.99999999999994
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,Botella Vino y Ron Limpia,176.0,0.45,1.25,79.2,220.0,140.8
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,Cartón,16.27,10.0,10.0,162.7,162.7,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,Galones de aceite,0.73,15.0,15.0,10.95,10.95,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,PET celeste,0.65,15.0,15.0,9.75,9.75,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,PET transparente,3.94,50.0,50.0,197.0,197.0,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,PET verde,1.05,15.0,15.0,15.75,15.75,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,Papel mixto,0.29,20.0,20.0,5.8,5.8,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,Plástico duro (PP),0.34,25.0,25.0,8.5,8.5,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,Plástico soplado (PEAD),1.67,30.0,30.0,50.099999999999994,50.099999999999994,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,Quintal vidrio AM,2.95,20.0,20.0,59.0,59.0,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,Quintal vidrio TR,52.15,21.0,21.0,1095.1499999999999,1095.1499999999999,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Tzununá,Quintal vidrio sucio,0.42,12.0,12.0,5.04,5.04,0.0
atitlan_recicla,2026,1,ENE,T,T - Panajachel,Cartón,264.87,10.0,10.0,2648.7,2648.7,0.0
atitlan_recicla,2026,1,ENE,T,T - Panajachel,PET celeste,17.05,20.0,20.0,341.0,341.0,0.0
atitlan_recicla,2026,1,ENE,T,T - Panajachel,PET transparente,45.52,40.0,40.0,1820.8000000000002,1820.8000000000002,0.0
atitlan_recicla,2026,1,ENE,T,T - Panajachel,PET verde,6.0,15.0,15.0,90.0,90.0,0.0
atitlan_recicla,2026,1,ENE,T,T - Panajachel,Papel mixto,77.39,30.0,30.0,2321.7,2321.7,0.0
atitlan_recicla,2026,1,ENE,T,T - Panajachel,Plástico duro (PP),7.48,90.0,100.0,369.2,374.0,4.800000000000001
atitlan_recicla,2026,1,ENE,T,T - Panajachel,Plástico soplado (PEAD),11.7,40.0,40.0,468.0,468.0,0.0
atitlan_recicla,2026,1,ENE,T,T - Panajachel,Quintal vidrio AM,5.19,23.0,23.0,119.37,119.37,0.0
atitlan_recicla,2026,1,ENE,T,T - Panajachel,Quintal vidrio TR,512.43,23.0,23.0,11785.89,11785.89,0.0
atitlan_recicla,2026,1,ENE,T,T - Panajachel,Quintal vidrio VER,2.41,10.0,10.0,24.1,24.1,0.0
atitlan_recicla,2026,1,ENE,T,T - Santa Clara la Laguna,PET celeste,0.1,20.0,20.0,2.0,2.0,0.0
atitlan_recicla,2026,1,ENE,T,T - Santa Clara la Laguna,PET transparente,0.5,40.0,40.0,20.0,20.0,0.0
atitlan_recicla,2026,1,ENE,T,T - Santa Clara la Laguna,PET verde,0.1,15.0,15.0,1.5,1.5,0.0
atitlan_recicla,2026,1,ENE,T,T - Santa Clara la Laguna,Papel mixto,1.5,25.0,25.0,37.5,37.5,0.0
atitlan_recicla,2026,1,ENE,T,T - Santa Clara la Laguna,Quintal vidrio TR,51.24,22.0,22.0,1127.28,1127.28,0.0
atitlan_recicla,2026,1,ENE,T,T - Santa Lucía Utatlán,Cartón,4.52,10.0,10.0,45.199999999999996,45.199999999999996,0.0
atitlan_recicla,2026,1,ENE,T,T - Santa Lucía Utatlán,PET celeste,0.75,15.0,20.0,11.25,15.0,3.75
