record_key,programa,anio,mes_num,mes,zona,territorio,tipo_operacion,source_sheet,source_heading_row,source_month_col,mujeres_activas,mujeres_actividades,mujeres_comercializacion,mujeres_comercializacion_no_inscritas,mujeres_inscritas_total,mujeres_nuevas_inscritas,materiales_lideresas_qq,materiales_municipalidad_qq,total_materiales_qq,ingreso_bruto_lideresas,gasto_transporte,pago_coop_lideresas,ingreso_neto_lideresas,ingreso_bruto_municipalidad,pago_coop_municipalidad,ingreso_neto_municipalidad,ingreso_bruto_total,ingreso_neto_total_territorio,ingreso_neto_cooperativa,horas_trabajadas_lideresas,ingreso_diario_lideresa,pet_qq,vidrio_cerveza_gronn_unid,vidrio_vino_gronn_unid,vidrio_cerveza_surusic_unid,vidrio_vino_surusic_unid,vidrio_peso_qq,vidrio_total_qq,ingreso_pet,ingreso_vidrio_peso,ingreso_vidrio_gronn,ingreso_vidrio_surusic,has_any_data
ATITLAN_RECICLA|2026|06|Santa Cruz La Laguna,Cooperativa Atitlán Recicla,2026,6,JUN,Las Lagunas,Santa Cruz La Laguna,mujeres,Datos_Impacto,143,L,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|07|Santa Cruz La Laguna,Cooperativa Atitlán Recicla,2026,7,JUL,Las Lagunas,Santa Cruz La Laguna,mujeres,Datos_Impacto,143,N,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|08|Santa Cruz La Laguna,Cooperativa Atitlán Recicla,2026,8,AGO,Las Lagunas,Santa Cruz La Laguna,mujeres,Datos_Impacto,143,O,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|09|Santa Cruz La Laguna,Cooperativa Atitlán Recicla,2026,9,SEP,Las Lagunas,Santa Cruz La Laguna,mujeres,Datos_Impacto,143,P,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|10|Santa Cruz La Laguna,Cooperativa Atitlán Recicla,2026,10,OCT,Las Lagunas,Santa Cruz La Laguna,mujeres,Datos_Impacto,143,Q,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|11|Santa Cruz La Laguna,Cooperativa Atitlán Recicla,2026,11,NOV,Las Lagunas,Santa Cruz La Laguna,mujeres,Datos_Impacto,143,R,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|01|Tzununá,Cooperativa Atitlán Recicla,2026,1,ENE,Las Lagunas,Tzununá,mujeres,Datos_Impacto,177,G,4,4,4,0,5,0,84.49,0,84.49,2271.04,0,367.8,1903.24,0,0,0,2271.04,1903.24,367.8,150.3,95.162,5.64,454,176,0,0,55.52,59.550000000000004,222.5,1159.19,283.5,0,True
ATITLAN_RECICLA|2026|02|Tzununá,Cooperativa Atitlán Recicla,2026,2,FEB,Las Lagunas,Tzununá,mujeres,Datos_Impacto,177,H,4,4,4,0,5,0,59.85,0,59.85,1054.91,0,0,1054.91,0,0,0,1054.91,1054.91,0,98,52.74550000000001,1.18,0,0,0,0,47.94,47.94,39.45,921.7,0,0,True
ATITLAN_RECICLA|2026|03|Tzununá,Cooperativa Atitlán Recicla,2026,3,MAR,Las Lagunas,Tzununá,mujeres,Datos_Impacto,177,I,,,,,,,,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|04|Tzununá,Cooperativa Atitlán Recicla,2026,4,ABR,Las Lagunas,Tzununá,mujeres,Datos_Impacto,177,J,,,,,,,,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|05|Tzununá,Cooperativa Atitlán Recicla,2026,5,MAY,Las Lagunas,Tzununá,mujeres,Datos_Impacto,177,K,,,,,,,,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|06|Tzununá,Cooperativa Atitlán Recicla,2026,6,JUN,Las Lagunas,Tzununá,mujeres,Datos_Impacto,177,L,,,,,,,,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|07|Tzununá,Cooperativa Atitlán Recicla,2026,7,JUL,Las Lagunas,Tzununá,mujeres,Datos_Impacto,177,N,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|08|Tzununá,Cooperativa Atitlán Recicla,2026,8,AGO,Las Lagunas,Tzununá,mujeres,Datos_Impacto,177,O,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|09|Tzununá,Cooperativa Atitlán Recicla,2026,9,SEP,Las Lagunas,Tzununá,mujeres,Datos_Impacto,177,P,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|10|Tzununá,Cooperativa Atitlán Recicla,2026,10,OCT,Las Lagunas,Tzununá,mujeres,Datos_Impacto,177,Q,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|11|Tzununá,Cooperativa Atitlán Recicla,2026,11,NOV,Las Lagunas,Tzununá,mujeres,Datos_Impacto,177,R,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|01|San Marcos La Laguna,Cooperativa Atitlán Recicla,2026,1,ENE,Las Lagunas,San Marcos La Laguna,muni,Datos_Impacto,211,G,0,0,0,0,0,0,0,40.11,40.11,0,0,0,0,897.55,224,673.55,897.55,673.55,224,0,,8.31,0,0,0,0,22.9,22.9,175.4,363.9,0,0,True
ATITLAN_RECICLA|2026|02|San Marcos La Laguna,Cooperativa Atitlán Recicla,2026,2,FEB,Las Lagunas,San Marcos La Laguna,muni,Datos_Impacto,211,H,0,0,0,0,0,0,0,97.66,97.66,0,0,0,0,1652.09,303.16,1348.9299999999998,1652.09,1348.9299999999998,303.16,0,,6.3,0,0,0,0,62.02,62.02,150.9,934.84,0,0,True
ATITLAN_RECICLA|2026|03|San Marcos La Laguna,Cooperativa Atitlán Recicla,2026,3,MAR,Las Lagunas,San Marcos La Laguna,muni,Datos_Impacto,211,I,,,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|04|San Marcos La Laguna,Cooperativa Atitlán Recicla,2026,4,ABR,Las Lagunas,San Marcos La Laguna,muni,Datos_Impacto,211,J,,,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|05|San Marcos La Laguna,Cooperativa Atitlán Recicla,2026,5,MAY,Las Lagunas,San Marcos La Laguna,muni,Datos_Impacto,211,K,,,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|06|San Marcos La Laguna,Cooperativa Atitlán Recicla,2026,6,JUN,Las Lagunas,San Marcos La Laguna,muni,Datos_Impacto,211,L,,,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|07|San Marcos La Laguna,Cooperativa Atitlán Recicla,2026,7,JUL,Las Lagunas,San Marcos La Laguna,muni,Datos_Impacto,211,N,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|08|San Marcos La Laguna,Cooperativa Atitlán Recicla,2026,8,AGO,Las Lagunas,San Marcos La Laguna,muni,Datos_Impacto,211,O,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|09|San Marcos La Laguna,Cooperativa Atitlán Recicla,2026,9,SEP,Las Lagunas,San Marcos La Laguna,muni,Datos_Impacto,211,P,,,,,,,,,0,0,0,,0,,,0,0,0,0,,,,,,,,,0,,,,0,True
